filepath,label,group_id,clean_stem,ahash,dhash
/Users/wirapongc/Library/CloudStorage/GoogleDrive-wirach@kku.ac.th/My Drive/OpenClawMacMini/Mango Plant Disease/dataset/Cutting Weevil/20211011_161954 (Custom).jpg,Cutting Weevil,Cutting Weevil__g0124,20211011_161954,1111100011011000110100001110000000000000001000001110111111111111,0000000000110000001100101100011101001010111010100100100000000000
/Users/wirapongc/Library/CloudStorage/GoogleDrive-wirach@kku.ac.th/My Drive/OpenClawMacMini/Mango Plant Disease/dataset/Cutting Weevil/20211011_162009 (Custom).jpg,Cutting Weevil,Cutting Weevil__g0128,20211011_162009,1111110011111100111110001111000011110000011110000011110000111100,0110000001000000110000001100001011000001110000011110000111100000
/Users/wirapongc/Library/CloudStorage/GoogleDrive-wirach@kku.ac.th/My Drive/OpenClawMacMini/Mango Plant Disease/dataset/Sooty Mould/IMG_20211211_154139 (Custom).jpg,Sooty Mould,Sooty Mould__g0303,IMG_20211211_154139,1110111111001111100001111000011100000011000000110000011100000111,1000111000011110001011110110111101100111011011100110111000001100
/Users/wirapongc/Library/CloudStorage/GoogleDrive-wirach@kku.ac.th/My Drive/OpenClawMacMini/Mango Plant Disease/dataset/Bacterial Canker/IMG_20211106_143134 (Custom).jpg,Bacterial Canker,Bacterial Canker__g0452,IMG_20211106_143134,1111101111110011111100111111001111110011111100111110000011000000,0010001100000110001001100010011000000110000001110000011100000111
/Users/wirapongc/Library/CloudStorage/GoogleDrive-wirach@kku.ac.th/My Drive/OpenClawMacMini/Mango Plant Disease/dataset/Powdery Mildew/IMG_20211107_124104 (Custom).jpg,Powdery Mildew,Powdery Mildew__g0319,IMG_20211107_124104,1111111111110111100000010000000011000000111110111111111111111111,1111111110010110000111110011101100000011110000111111111111111111
/Users/wirapongc/Library/CloudStorage/GoogleDrive-wirach@kku.ac.th/My Drive/OpenClawMacMini/Mango Plant Disease/dataset/Sooty Mould/IMG_20211211_154919 (Custom).jpg,Sooty Mould,Sooty Mould__g0349,IMG_20211211_154919,1111111111110011111000011100000110000011100001111000011110001111,0111001011000111100011110001111100011111001011100011110000111100
/Users/wirapongc/Library/CloudStorage/GoogleDrive-wirach@kku.ac.th/My Drive/OpenClawMacMini/Mango Plant Disease/dataset/Die Back/20211129_161657 (Custom).jpg,Die Back,Die Back__g0115,20211129_161657,1111111011111100111111001100100011000000111000001111000011110000,0000000000000000000000000001000010011111000000110000000000000000
/Users/wirapongc/Library/CloudStorage/GoogleDrive-wirach@kku.ac.th/My Drive/OpenClawMacMini/Mango Plant Disease/dataset/Powdery Mildew/IMG_20211107_124903 (Custom).jpg,Powdery Mildew,Powdery Mildew__g0350,IMG_20211107_124903,1100000111000001110000011000001110000011110000111100011111100111,0001011100011011000110110001011100011111000111101001111011001101
/Users/wirapongc/Library/CloudStorage/GoogleDrive-wirach@kku.ac.th/My Drive/OpenClawMacMini/Mango Plant Disease/dataset/Cutting Weevil/20211011_162103 (Custom).jpg,Cutting Weevil,Cutting Weevil__g0142,20211011_162103,1111100011111000111100001100000011000000111010001000110011011110,0000000000000000000011001001000010011110100110010011100100101000
/Users/wirapongc/Library/CloudStorage/GoogleDrive-wirach@kku.ac.th/My Drive/OpenClawMacMini/Mango Plant Disease/dataset/Die Back/20211129_164516 (Custom).jpg,Die Back,Die Back__g0370,20211129_164516,1101111111001111111001101110011011100100111000001110000011100000,0011000000011000000011000000110001001100000011000000110000001100
/Users/wirapongc/Library/CloudStorage/GoogleDrive-wirach@kku.ac.th/My Drive/OpenClawMacMini/Mango Plant Disease/dataset/Gall Midge/IMG_20211106_161418 (Custom).jpg,Gall Midge,Gall Midge__g0043,IMG_20211106_161418,1110001111100011111000111110001111110011111100111111001111111111,0000111000001110000001100000011000000110000001110000011100000000
/Users/wirapongc/Library/CloudStorage/GoogleDrive-wirach@kku.ac.th/My Drive/OpenClawMacMini/Mango Plant Disease/dataset/Gall Midge/IMG_20211106_163231 (Custom).jpg,Gall Midge,Gall Midge__g0224,IMG_20211106_163231,1111111111111011111100011110001111000111100001111000111100011111,0001100100010011001000110000011100011111000111110011111101111111
/Users/wirapongc/Library/CloudStorage/GoogleDrive-wirach@kku.ac.th/My Drive/OpenClawMacMini/Mango Plant Disease/dataset/Cutting Weevil/20211011_162131 (Custom) (Custom).jpg,Cutting Weevil,Cutting Weevil__g0151,20211011_162131,1111111011111100111011001100000011110000111000001000010011000000,0000000000000000000110001001011111000111000010110010100000011100
/Users/wirapongc/Library/CloudStorage/GoogleDrive-wirach@kku.ac.th/My Drive/OpenClawMacMini/Mango Plant Disease/dataset/Bacterial Canker/IMG_20211106_141717 (Custom).jpg,Bacterial Canker,Bacterial Canker__g0332,IMG_20211106_141717,1111111111111111110111110000010000000000000010001101111011111111,1000000010000000001110000010110000010011010110100001000010000000
/Users/wirapongc/Library/CloudStorage/GoogleDrive-wirach@kku.ac.th/My Drive/OpenClawMacMini/Mango Plant Disease/dataset/Gall Midge/IMG_20211106_164410 (Custom).jpg,Gall Midge,Gall Midge__g0353,IMG_20211106_164410,1100011111000111111000111110001111100001111100011111110111111110,0000111100001111000011110000011100000111000000110000100100001100
/Users/wirapongc/Library/CloudStorage/GoogleDrive-wirach@kku.ac.th/My Drive/OpenClawMacMini/Mango Plant Disease/dataset/Die Back/IMG_20211027_194809 (Custom).jpg,Die Back,Die Back__g0427,IMG_20211027_194809,1110000011100000111000001110110011100100111001001110010011100000,0000100000001000000010000100100000001000000010000000110000001100
/Users/wirapongc/Library/CloudStorage/GoogleDrive-wirach@kku.ac.th/My Drive/OpenClawMacMini/Mango Plant Disease/dataset/Powdery Mildew/IMG_20211107_123505 (Custom).jpg,Powdery Mildew,Powdery Mildew__g0261,IMG_20211107_123505,1111111101111111000011110000001100000001100000001100001111111111,0000001111110011001111000000111000000111000000110000111000001000
/Users/wirapongc/Library/CloudStorage/GoogleDrive-wirach@kku.ac.th/My Drive/OpenClawMacMini/Mango Plant Disease/dataset/Cutting Weevil/20211011_162417 (Custom) (Custom).jpg,Cutting Weevil,Cutting Weevil__g0177,20211011_162417,1111100011111000111110001111100011110000111100001110000010001100,0000000000000000010000001000001010000111010001100000101000011001
/Users/wirapongc/Library/CloudStorage/GoogleDrive-wirach@kku.ac.th/My Drive/OpenClawMacMini/Mango Plant Disease/dataset/Sooty Mould/IMG_20211108_122953 (Custom).jpg,Sooty Mould,Sooty Mould__g0195,IMG_20211108_122953,0000001000000000000000000000000011111111111111111111111111111111,1111111011101110011001110001001111000011111111101111111111111111
/Users/wirapongc/Library/CloudStorage/GoogleDrive-wirach@kku.ac.th/My Drive/OpenClawMacMini/Mango Plant Disease/dataset/Healthy/20211231_125024 (Custom).jpg,Healthy,Healthy__g0110,20211231_125024,1111111011111110111110001000000011100000111111001111111011111110,0000000000000000000100000000011110000011011000000000000000000000
/Users/wirapongc/Library/CloudStorage/GoogleDrive-wirach@kku.ac.th/My Drive/OpenClawMacMini/Mango Plant Disease/dataset/Gall Midge/IMG_20211106_161604 (Custom).jpg,Gall Midge,Gall Midge__g0062,IMG_20211106_161604,1111111111111111111110011111000111100011111000111100011111001000,0011010000001011000110110011001100000110010011010000110100011001
/Users/wirapongc/Library/CloudStorage/GoogleDrive-wirach@kku.ac.th/My Drive/OpenClawMacMini/Mango Plant Disease/dataset/Healthy/20211231_123734 (Custom).jpg,Healthy,Healthy__g0038,20211231_123734,1111111111111111111111111100001110000000111000001111111011111110,0000000000000000011000000000111000000011010000110000000000000000
/Users/wirapongc/Library/CloudStorage/GoogleDrive-wirach@kku.ac.th/My Drive/OpenClawMacMini/Mango Plant Disease/dataset/Healthy/20211231_161124 (Custom).jpg,Healthy,Healthy__g0372,20211231_161124,1111110111110000111000011110000111000011110001111000011110001111,0001000110100011010001111100101110010111000011100001111100111111
/Users/wirapongc/Library/CloudStorage/GoogleDrive-wirach@kku.ac.th/My Drive/OpenClawMacMini/Mango Plant Disease/dataset/Powdery Mildew/20211109_122032 (Custom).jpg,Powdery Mildew,Powdery Mildew__g0110,20211109_122032,1111111111111111111110001100000011000000111000001111100011111000,0000000000000000000000000000000100000000000000000000000000000000
/Users/wirapongc/Library/CloudStorage/GoogleDrive-wirach@kku.ac.th/My Drive/OpenClawMacMini/Mango Plant Disease/dataset/Anthracnose/IMG_20211011_153209 (Custom).jpg,Anthracnose,Anthracnose__g0253,IMG_20211011_153209,1111111111111111110011000000000000000111111111111111110011100000,1110000011100000000110000001101100011110110000001000000000000000
/Users/wirapongc/Library/CloudStorage/GoogleDrive-wirach@kku.ac.th/My Drive/OpenClawMacMini/Mango Plant Disease/dataset/Die Back/20211129_162635 (Custom).jpg,Die Back,Die Back__g0223,20211129_162635,1111111111111111111110011111000011100000110010001001100011110000,0000000000000000000000110100011110001100000110000011000000000000
/Users/wirapongc/Library/CloudStorage/GoogleDrive-wirach@kku.ac.th/My Drive/OpenClawMacMini/Mango Plant Disease/dataset/Cutting Weevil/20211011_162417 (Custom).jpg,Cutting Weevil,Cutting Weevil__g0177,20211011_162417,1111100011111000111110001111100011110000111100001110000010001100,0000000000000000010000001000001010000111010001100000101000011001
/Users/wirapongc/Library/CloudStorage/GoogleDrive-wirach@kku.ac.th/My Drive/OpenClawMacMini/Mango Plant Disease/dataset/Bacterial Canker/IMG_20211106_142912 (Custom).jpg,Bacterial Canker,Bacterial Canker__g0413,IMG_20211106_142912,1111111111111111111110001011100010000000110000001110000011100000,0000000000000001000000110110000000110000000110000000110000100000
/Users/wirapongc/Library/CloudStorage/GoogleDrive-wirach@kku.ac.th/My Drive/OpenClawMacMini/Mango Plant Disease/dataset/Bacterial Canker/IMG_20211106_135349 (Custom).jpg,Bacterial Canker,Bacterial Canker__g0159,IMG_20211106_135349,1111111111110111111001111110010111100100110000001100010011000100,0000010000000110000011010000110100001101100011010000110100001000
/Users/wirapongc/Library/CloudStorage/GoogleDrive-wirach@kku.ac.th/My Drive/OpenClawMacMini/Mango Plant Disease/dataset/Sooty Mould/IMG_20211108_122104 (Custom).jpg,Sooty Mould,Sooty Mould__g0099,IMG_20211108_122104,1111111110000111000010110000111100000001000000001000000011111111,0011111100111111111110111011111100111111001110110001010000110110
/Users/wirapongc/Library/CloudStorage/GoogleDrive-wirach@kku.ac.th/My Drive/OpenClawMacMini/Mango Plant Disease/dataset/Cutting Weevil/20211011_162120 (Custom) (Custom).jpg,Cutting Weevil,Cutting Weevil__g0145,20211011_162120,1111100111110000001000001110000011110000110010001100101111111111,0000001000000111110001011001011110000110000100100001001000000000
/Users/wirapongc/Library/CloudStorage/GoogleDrive-wirach@kku.ac.th/My Drive/OpenClawMacMini/Mango Plant Disease/dataset/Powdery Mildew/IMG_20211107_121310 (Custom).jpg,Powdery Mildew,Powdery Mildew__g0206,IMG_20211107_121310,1111011111100111111000111100001111000111110001111100011100001111,1100011011001111110011111000111110001111100011011000110110011111
/Users/wirapongc/Library/CloudStorage/GoogleDrive-wirach@kku.ac.th/My Drive/OpenClawMacMini/Mango Plant Disease/dataset/Bacterial Canker/IMG_20211106_141123 (Custom).jpg,Bacterial Canker,Bacterial Canker__g0291,IMG_20211106_141123,1111000011110000111100001111001011110010111001101111111011111110,1000001000000110000001100000011000100100000010000101000010010000
/Users/wirapongc/Library/CloudStorage/GoogleDrive-wirach@kku.ac.th/My Drive/OpenClawMacMini/Mango Plant Disease/dataset/Healthy/20211231_161054 (Custom).jpg,Healthy,Healthy__g0365,20211231_161054,1111101111110001111000111100001110000011100001110000111100111111,1010001111000011110010111000011100001111000111110111101101100001
/Users/wirapongc/Library/CloudStorage/GoogleDrive-wirach@kku.ac.th/My Drive/OpenClawMacMini/Mango Plant Disease/dataset/Anthracnose/IMG_20211011_170355 (Custom).jpg,Anthracnose,Anthracnose__g0475,IMG_20211011_170355,1111111111111011111100111110011111000110110011001000000000000000,1100001011000110111001101100110011001100100110001011000000100000
/Users/wirapongc/Library/CloudStorage/GoogleDrive-wirach@kku.ac.th/My Drive/OpenClawMacMini/Mango Plant Disease/dataset/Powdery Mildew/20211109_121649 (Custom).jpg,Powdery Mildew,Powdery Mildew__g0043,20211109_121649,1111111111111101100000000000000010000000111111001111110011111100,0000000000000001000000000000001100001111000000000000000000000000
/Users/wirapongc/Library/CloudStorage/GoogleDrive-wirach@kku.ac.th/My Drive/OpenClawMacMini/Mango Plant Disease/dataset/Powdery Mildew/IMG_20211107_125357 (Custom).jpg,Powdery Mildew,Powdery Mildew__g0408,IMG_20211107_125357,1111011111100011111000111110001111000011110000111100011111100111,1100011011000110100001101000011010000110100011101000110111001111
/Users/wirapongc/Library/CloudStorage/GoogleDrive-wirach@kku.ac.th/My Drive/OpenClawMacMini/Mango Plant Disease/dataset/Anthracnose/IMG_20211011_164646 (Custom).jpg,Anthracnose,Anthracnose__g0432,IMG_20211011_164646,0111111101111111000111110000111100000111000001110110001101111111,1111001111111000011111010011100000011100100011001100011011110010
/Users/wirapongc/Library/CloudStorage/GoogleDrive-wirach@kku.ac.th/My Drive/OpenClawMacMini/Mango Plant Disease/dataset/Sooty Mould/IMG_20211211_154923 (Custom).jpg,Sooty Mould,Sooty Mould__g0350,IMG_20211211_154923,1111011111100011110000111100001110000111100001111000111111011111,1100111011001111100111110001011100101110001111010001111100111111
/Users/wirapongc/Library/CloudStorage/GoogleDrive-wirach@kku.ac.th/My Drive/OpenClawMacMini/Mango Plant Disease/dataset/Healthy/20211231_160924 (Custom).jpg,Healthy,Healthy__g0344,20211231_160924,1011111110001111100001111100011111100011111000011111000011111011,0111000000111000000111000000110000000110000001100010001000010010
/Users/wirapongc/Library/CloudStorage/GoogleDrive-wirach@kku.ac.th/My Drive/OpenClawMacMini/Mango Plant Disease/dataset/Sooty Mould/IMG_20211212_150516 (Custom).jpg,Sooty Mould,Sooty Mould__g0496,IMG_20211212_150516,1100011111000011110000111100001111000011111000111110001111100111,1001111010010110100101101001011000000110000001100100111001001110
/Users/wirapongc/Library/CloudStorage/GoogleDrive-wirach@kku.ac.th/My Drive/OpenClawMacMini/Mango Plant Disease/dataset/Die Back/20211129_160624 (Custom).jpg,Die Back,Die Back__g0020,20211129_160624,1110111111100111111001111110011111001111110011111100111110000001,0101100001001100010011010100110100011001000110010001100100111011
/Users/wirapongc/Library/CloudStorage/GoogleDrive-wirach@kku.ac.th/My Drive/OpenClawMacMini/Mango Plant Disease/dataset/Healthy/20211231_161321 (Custom).jpg,Healthy,Healthy__g0383,20211231_161321,1111111011100110111001001110011011100110111001101110011011100110,0000100011001100111011001110110011101100111011001100110001001100
/Users/wirapongc/Library/CloudStorage/GoogleDrive-wirach@kku.ac.th/My Drive/OpenClawMacMini/Mango Plant Disease/dataset/Gall Midge/IMG_20211106_165509 (Custom).jpg,Gall Midge,Gall Midge__g0392,IMG_20211106_165509,1111111111111100110000000000000100011111111111111111111111111110,1101101011100000100000010001111111111000110000001110000011100000
/Users/wirapongc/Library/CloudStorage/GoogleDrive-wirach@kku.ac.th/My Drive/OpenClawMacMini/Mango Plant Disease/dataset/Anthracnose/IMG_20211011_162018 (Custom).jpg,Anthracnose,Anthracnose__g0353,IMG_20211011_162018,1111111111111111111111110011111100000111100000111100000101110011,1111000011110000110100000111000001111100000111111000111111100110
/Users/wirapongc/Library/CloudStorage/GoogleDrive-wirach@kku.ac.th/My Drive/OpenClawMacMini/Mango Plant Disease/dataset/Sooty Mould/IMG_20211211_154220 (Custom).jpg,Sooty Mould,Sooty Mould__g0308,IMG_20211211_154220,1001111110001111100001111000011110000011110000110110001100110011,0011000100111000001111000011111000010110100011101100011011100110
/Users/wirapongc/Library/CloudStorage/GoogleDrive-wirach@kku.ac.th/My Drive/OpenClawMacMini/Mango Plant Disease/dataset/Gall Midge/IMG_20211106_163638 (Custom).jpg,Gall Midge,Gall Midge__g0249,IMG_20211106_163638,1111111111111111111111111111111111000000100000001000000011100101,0000000000000001000000000000010100010000000000110000111100001101
/Users/wirapongc/Library/CloudStorage/GoogleDrive-wirach@kku.ac.th/My Drive/OpenClawMacMini/Mango Plant Disease/dataset/Bacterial Canker/IMG_20211106_140334 (Custom).jpg,Bacterial Canker,Bacterial Canker__g0243,IMG_20211106_140334,1111111111111111111111111111111100111111000000010000001100000111,1111101011111110111111101111111111100011000111111000111011111111
/Users/wirapongc/Library/CloudStorage/GoogleDrive-wirach@kku.ac.th/My Drive/OpenClawMacMini/Mango Plant Disease/dataset/Die Back/IMG_20211027_182142 (Custom).jpg,Die Back,Die Back__g0377,IMG_20211027_182142,1100110011101110111001101110011011110110111101000111000000000000,1001100011001000110011001100110011001100111001001100010011100000
/Users/wirapongc/Library/CloudStorage/GoogleDrive-wirach@kku.ac.th/My Drive/OpenClawMacMini/Mango Plant Disease/dataset/Anthracnose/IMG_20211011_140610 (Custom).jpg,Anthracnose,Anthracnose__g0213,IMG_20211011_140610,0000000100000111000001110000011100001111011111110111111101111111,1111111111101110110011101101111011011010111111001111110011111100
/Users/wirapongc/Library/CloudStorage/GoogleDrive-wirach@kku.ac.th/My Drive/OpenClawMacMini/Mango Plant Disease/dataset/Die Back/IMG_20211027_193510 (Custom).jpg,Die Back,Die Back__g0402,IMG_20211027_193510,1111100011111100111111101111001000011110111111000011000000000000,1100000011000000110000000100011001111000110000001100000011100000
/Users/wirapongc/Library/CloudStorage/GoogleDrive-wirach@kku.ac.th/My Drive/OpenClawMacMini/Mango Plant Disease/dataset/Healthy/20211231_160723 (Custom).jpg,Healthy,Healthy__g0324,20211231_160723,1111111111111111110111110000000000000000100000001111110011111110,0100000011000000001111100011011101100000000000111000000001100000
/Users/wirapongc/Library/CloudStorage/GoogleDrive-wirach@kku.ac.th/My Drive/OpenClawMacMini/Mango Plant Disease/dataset/Bacterial Canker/IMG_20211106_142921 (Custom).jpg,Bacterial Canker,Bacterial Canker__g0416,IMG_20211106_142921,1111111111111111111111111111111011000000100000001111000000000000,0000000000000001000000110000000000000101000001110100000010000000
/Users/wirapongc/Library/CloudStorage/GoogleDrive-wirach@kku.ac.th/My Drive/OpenClawMacMini/Mango Plant Disease/dataset/Anthracnose/IMG_20211011_164044 (Custom).jpg,Anthracnose,Anthracnose__g0399,IMG_20211011_164044,1111111111111111111111111000011111000000111000001111100011111100,1111000011100000011110000001111000001111110000111110000000001000
/Users/wirapongc/Library/CloudStorage/GoogleDrive-wirach@kku.ac.th/My Drive/OpenClawMacMini/Mango Plant Disease/dataset/Die Back/20211129_163047 (Custom).jpg,Die Back,Die Back__g0263,20211129_163047,1111100111110001111100111111000011110000111100001110000011100000,0000001100000011000001100000110000000100000001000000111000001100
/Users/wirapongc/Library/CloudStorage/GoogleDrive-wirach@kku.ac.th/My Drive/OpenClawMacMini/Mango Plant Disease/dataset/Anthracnose/IMG_20211011_164408 (Custom).jpg,Anthracnose,Anthracnose__g0423,IMG_20211011_164408,1111111011111100111001001110010011100100111001001110000011100000,1000000010001000100011001000110010001100100011001000100010001000
/Users/wirapongc/Library/CloudStorage/GoogleDrive-wirach@kku.ac.th/My Drive/OpenClawMacMini/Mango Plant Disease/dataset/Healthy/20211231_124247 (Custom).jpg,Healthy,Healthy__g0068,20211231_124247,1111111111111111110000000000000010000001111111111111111111111111,0000000000000000000000110000000100000111000011000000000000000000
/Users/wirapongc/Library/CloudStorage/GoogleDrive-wirach@kku.ac.th/My Drive/OpenClawMacMini/Mango Plant Disease/dataset/Powdery Mildew/IMG_20211107_125336 (Custom).jpg,Powdery Mildew,Powdery Mildew__g0404,IMG_20211107_125336,1000001110000011100000111000001111000011111000111111011111111111,0000011000010011000110110001101100011110100011101110010111100111
/Users/wirapongc/Library/CloudStorage/GoogleDrive-wirach@kku.ac.th/My Drive/OpenClawMacMini/Mango Plant Disease/dataset/Cutting Weevil/20211011_162530(0) (Custom).jpg,Cutting Weevil,Cutting Weevil__g0217,20211011_162530(0),1111100011111000111110001110000011000000100010001110000011101000,1000000000000000000000000000110000001000001010010100000101011011
/Users/wirapongc/Library/CloudStorage/GoogleDrive-wirach@kku.ac.th/My Drive/OpenClawMacMini/Mango Plant Disease/dataset/Bacterial Canker/IMG_20211106_135650 (Custom).jpg,Bacterial Canker,Bacterial Canker__g0190,IMG_20211106_135650,1101111111011111110111111100011011100110111100101111001011111000,0010000000110000001100000001100000001100001001000001011000010010
/Users/wirapongc/Library/CloudStorage/GoogleDrive-wirach@kku.ac.th/My Drive/OpenClawMacMini/Mango Plant Disease/dataset/Bacterial Canker/IMG_20211106_140649 (Custom).jpg,Bacterial Canker,Bacterial Canker__g0266,IMG_20211106_140649,1111111111111111001111110000111100000111000011110101111111111111,0011010110000111011111111011111100011111101111111010111111001111
/Users/wirapongc/Library/CloudStorage/GoogleDrive-wirach@kku.ac.th/My Drive/OpenClawMacMini/Mango Plant Disease/dataset/Sooty Mould/IMG_20211211_155533 (Custom).jpg,Sooty Mould,Sooty Mould__g0381,IMG_20211211_155533,1111111111110001110000011000001100000111000111111111111111111111,1111000111000001000011110011111101111111111111111111111111111111
/Users/wirapongc/Library/CloudStorage/GoogleDrive-wirach@kku.ac.th/My Drive/OpenClawMacMini/Mango Plant Disease/dataset/Sooty Mould/IMG_20211212_150421 (Custom).jpg,Sooty Mould,Sooty Mould__g0494,IMG_20211212_150421,1111001111110001111100011111000011110000111100001111100011111001,0010011000100111000001110000010110000011000000110000001100000011
/Users/wirapongc/Library/CloudStorage/GoogleDrive-wirach@kku.ac.th/My Drive/OpenClawMacMini/Mango Plant Disease/dataset/Gall Midge/IMG_20211106_162128 (Custom).jpg,Gall Midge,Gall Midge__g0095,IMG_20211106_162128,1111111111100111111001111110001111100011111000111100001111000011,0100101100001101000011010000111100001111000011100000011000001110
/Users/wirapongc/Library/CloudStorage/GoogleDrive-wirach@kku.ac.th/My Drive/OpenClawMacMini/Mango Plant Disease/dataset/Powdery Mildew/IMG_20211107_124927 (Custom).jpg,Powdery Mildew,Powdery Mildew__g0356,IMG_20211107_124927,1111111111111111100000000000000000000000100000001111000011111111,1111111110000111000011110011111000111111000100111000000111110001
/Users/wirapongc/Library/CloudStorage/GoogleDrive-wirach@kku.ac.th/My Drive/OpenClawMacMini/Mango Plant Disease/dataset/Sooty Mould/IMG_20211212_143213 (Custom).jpg,Sooty Mould,Sooty Mould__g0410,IMG_20211212_143213,1111111111111111000111110000001100000001000000111101111111111111,1111111111110111111111100111111111100111000111110011110111101111
/Users/wirapongc/Library/CloudStorage/GoogleDrive-wirach@kku.ac.th/My Drive/OpenClawMacMini/Mango Plant Disease/dataset/Bacterial Canker/IMG_20211106_143117 (Custom).jpg,Bacterial Canker,Bacterial Canker__g0449,IMG_20211106_143117,1111100011110000100000001000000011000000111000001111100011111111,0000000000100011000000110011000100001111000011110000001100000000
/Users/wirapongc/Library/CloudStorage/GoogleDrive-wirach@kku.ac.th/My Drive/OpenClawMacMini/Mango Plant Disease/dataset/Healthy/20211231_160441 (Custom).jpg,Healthy,Healthy__g0292,20211231_160441,1111111111111111111111111000000010000000111000001111000011111000,0000001001100011100001110000001100000001000000110000000000000000
/Users/wirapongc/Library/CloudStorage/GoogleDrive-wirach@kku.ac.th/My Drive/OpenClawMacMini/Mango Plant Disease/dataset/Healthy/20211231_160404 (Custom).jpg,Healthy,Healthy__g0283,20211231_160404,1111111111111111111111111110000011000000110000001111000011111000,0110000000100000001000000000111000000011000001110000000000000000
/Users/wirapongc/Library/CloudStorage/GoogleDrive-wirach@kku.ac.th/My Drive/OpenClawMacMini/Mango Plant Disease/dataset/Healthy/20211231_155526 (Custom).jpg,Healthy,Healthy__g0224,20211231_155526,1111111111111111111111111000000100000000110000001111111111111110,1101100011110000111100000000111100111001000010011100001011100000
/Users/wirapongc/Library/CloudStorage/GoogleDrive-wirach@kku.ac.th/My Drive/OpenClawMacMini/Mango Plant Disease/dataset/Anthracnose/IMG_20211011_170357 (Custom).jpg,Anthracnose,Anthracnose__g0476,IMG_20211011_170357,1111111111111111111100111110011111000111100011000000000001000000,1100000011010010111001101100110010011000001100000110000010000000
/Users/wirapongc/Library/CloudStorage/GoogleDrive-wirach@kku.ac.th/My Drive/OpenClawMacMini/Mango Plant Disease/dataset/Sooty Mould/IMG_20211108_123531 (Custom).jpg,Sooty Mould,Sooty Mould__g0270,IMG_20211108_123531,1111111111001111110001111100011110000111000001110000011100000111,1101000010011001100011000000110000001101000011110000110100011101
/Users/wirapongc/Library/CloudStorage/GoogleDrive-wirach@kku.ac.th/My Drive/OpenClawMacMini/Mango Plant Disease/dataset/Sooty Mould/IMG_20211212_150358 (Custom).jpg,Sooty Mould,Sooty Mould__g0489,IMG_20211212_150358,1111111111111110111110001110000011000000111000001111111111111111,0000000000000000000000000000000000001010000000010000000000000011
/Users/wirapongc/Library/CloudStorage/GoogleDrive-wirach@kku.ac.th/My Drive/OpenClawMacMini/Mango Plant Disease/dataset/Die Back/20211129_164037 (Custom).jpg,Die Back,Die Back__g0320,20211129_164037,1111111111111110101111001001110011000000111100001111000011110000,0000000000000000011000000011000000001110000000110000000000000000
/Users/wirapongc/Library/CloudStorage/GoogleDrive-wirach@kku.ac.th/My Drive/OpenClawMacMini/Mango Plant Disease/dataset/Anthracnose/IMG_20211011_164136 (Custom).jpg,Anthracnose,Anthracnose__g0411,IMG_20211011_164136,0000111100000111001001110010011101100111011101110011011100110111,1101100011001100110011001100110011001100111011001110010011101100
/Users/wirapongc/Library/CloudStorage/GoogleDrive-wirach@kku.ac.th/My Drive/OpenClawMacMini/Mango Plant Disease/dataset/Sooty Mould/IMG_20211108_123311 (Custom).jpg,Sooty Mould,Sooty Mould__g0252,IMG_20211108_123311,1111111111100111111000111110001111000001110000011100000011000000,1000101100001101000001110000011100010011000110010000000100000000
/Users/wirapongc/Library/CloudStorage/GoogleDrive-wirach@kku.ac.th/My Drive/OpenClawMacMini/Mango Plant Disease/dataset/Sooty Mould/IMG_20211212_143114 (Custom).jpg,Sooty Mould,Sooty Mould__g0402,IMG_20211212_143114,0011111100011111000001110000000110000000110000001111101011111111,1111111111111111001111110101011100111110000101111100001011111111
/Users/wirapongc/Library/CloudStorage/GoogleDrive-wirach@kku.ac.th/My Drive/OpenClawMacMini/Mango Plant Disease/dataset/Healthy/20211231_124534 (Custom).jpg,Healthy,Healthy__g0080,20211231_124534,1111111111000000000000000000000010000001110001111111111111111111,0000000000001000000000000000000100000111000111100001000000000000
/Users/wirapongc/Library/CloudStorage/GoogleDrive-wirach@kku.ac.th/My Drive/OpenClawMacMini/Mango Plant Disease/dataset/Die Back/IMG_20211027_183425 (Custom).jpg,Die Back,Die Back__g0384,IMG_20211027_183425,1111100011100100111011001110111011101100110011001100100000000000,1000000011001000110110001001000010011000100110000011000000100000
/Users/wirapongc/Library/CloudStorage/GoogleDrive-wirach@kku.ac.th/My Drive/OpenClawMacMini/Mango Plant Disease/dataset/Anthracnose/20211008_124632 (Custom).jpg,Anthracnose,Anthracnose__g0020,20211008_124632,1111110011111100111110001111001011100110110001101100111011110000,0000000000000001010000110100011011001100100111001001000000000000
/Users/wirapongc/Library/CloudStorage/GoogleDrive-wirach@kku.ac.th/My Drive/OpenClawMacMini/Mango Plant Disease/dataset/Bacterial Canker/IMG_20211106_142840 (Custom).jpg,Bacterial Canker,Bacterial Canker__g0407,IMG_20211106_142840,1111110011111000111110001111100011111000111100011110001011100000,0000000000000000000000000000000100000011000001110000011000001110
/Users/wirapongc/Library/CloudStorage/GoogleDrive-wirach@kku.ac.th/My Drive/OpenClawMacMini/Mango Plant Disease/dataset/Bacterial Canker/IMG_20211106_143036 (Custom).jpg,Bacterial Canker,Bacterial Canker__g0438,IMG_20211106_143036,1111100011000000110000001110000011110000111110001111110011111000,0000000000010000000011000000011000000011000000110000000100000000
