filepath,label,clean_stem,ahash,dhash,group_id
/Users/wirapongc/Library/CloudStorage/GoogleDrive-wirach@kku.ac.th/My Drive/OpenClawMacMini/Mango Plant Disease/dataset/Bacterial Canker/IMG_20211106_141257 (Custom).jpg,Bacterial Canker,IMG_20211106_141257,1111111111111111111111011110000111000011110010001001000010100000,0000001000000101000100010000011100001110100100000010001001000010,Bacterial Canker__g0307
/Users/wirapongc/Library/CloudStorage/GoogleDrive-wirach@kku.ac.th/My Drive/OpenClawMacMini/Mango Plant Disease/dataset/Gall Midge/IMG_20211106_170200 (Custom).jpg,Gall Midge,IMG_20211106_170200,1111111111111111111111110001111100000011100000001100000011110000,0000110110011011011100110111111101111111000111110000001100000001,Gall Midge__g0454
/Users/wirapongc/Library/CloudStorage/GoogleDrive-wirach@kku.ac.th/My Drive/OpenClawMacMini/Mango Plant Disease/dataset/Healthy/20211231_162347 (Custom).jpg,Healthy,20211231_162347,1111111111111111100000001000000011000000111110001111111011111111,1000000000000000000101010010000100000011000000100110000001000000,Healthy__g0483
/Users/wirapongc/Library/CloudStorage/GoogleDrive-wirach@kku.ac.th/My Drive/OpenClawMacMini/Mango Plant Disease/dataset/Die Back/20211129_162016 (Custom).jpg,Die Back,20211129_162016,1111110011111100111111001001110010000000111100001111110011111110,0000000000000000100000000011000000010011000000010000000000000000,Die Back__g0151
/Users/wirapongc/Library/CloudStorage/GoogleDrive-wirach@kku.ac.th/My Drive/OpenClawMacMini/Mango Plant Disease/dataset/Cutting Weevil/20211011_161908 (Custom).jpg,Cutting Weevil,20211011_161908,1111110011000100111100001000000010000000111000001111110011111100,0010100000101100001011010110001101100110000010100000000000000000,Cutting Weevil__g0110
/Users/wirapongc/Library/CloudStorage/GoogleDrive-wirach@kku.ac.th/My Drive/OpenClawMacMini/Mango Plant Disease/dataset/Sooty Mould/IMG_20211211_155447 (Custom).jpg,Sooty Mould,IMG_20211211_155447,1111111111111111000000000000000010000001111101111111111111111111,1111111111110111001100110011101100001111100011100000001100000111,Sooty Mould__g0371
/Users/wirapongc/Library/CloudStorage/GoogleDrive-wirach@kku.ac.th/My Drive/OpenClawMacMini/Mango Plant Disease/dataset/Healthy/20211231_161108 (Custom).jpg,Healthy,20211231_161108,1111111111111111100001111000000111000000111100001111100011111100,1100000010110000001111000001111100000011110000011000000011000001,Healthy__g0368
/Users/wirapongc/Library/CloudStorage/GoogleDrive-wirach@kku.ac.th/My Drive/OpenClawMacMini/Mango Plant Disease/dataset/Die Back/IMG_20211028_002750 (Custom).jpg,Die Back,IMG_20211028_002750,0000000000000000111011101110011111110111111101111110001111110010,1001000010011000110010001100110011001100110011001100011011100100,Die Back__g0454
/Users/wirapongc/Library/CloudStorage/GoogleDrive-wirach@kku.ac.th/My Drive/OpenClawMacMini/Mango Plant Disease/dataset/Bacterial Canker/IMG_20211106_135654 (Custom).jpg,Bacterial Canker,IMG_20211106_135654,1111100111111010111100001111000011110000111100001111100011111000,0000001100000010000001100000011000010010000000100000001100000001,Bacterial Canker__g0191
/Users/wirapongc/Library/CloudStorage/GoogleDrive-wirach@kku.ac.th/My Drive/OpenClawMacMini/Mango Plant Disease/dataset/Die Back/20211129_163809 (Custom).jpg,Die Back,20211129_163809,1111111111111111111111101000110010000000111000001111100011111000,0000000000000000100000000001100000001110000000110000000100000000,Die Back__g0288
/Users/wirapongc/Library/CloudStorage/GoogleDrive-wirach@kku.ac.th/My Drive/OpenClawMacMini/Mango Plant Disease/dataset/Cutting Weevil/20211011_160852 (Custom).jpg,Cutting Weevil,20211011_160852,1111100011111000111110001111000011100000111000001110000011100000,0000000000000000000000000000000011001100010011100000100100001100,Cutting Weevil__g0012
/Users/wirapongc/Library/CloudStorage/GoogleDrive-wirach@kku.ac.th/My Drive/OpenClawMacMini/Mango Plant Disease/dataset/Die Back/20211129_160747 (Custom).jpg,Die Back,20211129_160747,1111111011001100110011001110110011100000111000001111000011110000,0001000000010000000110000001100000001000000011000000011000000010,Die Back__g0036
/Users/wirapongc/Library/CloudStorage/GoogleDrive-wirach@kku.ac.th/My Drive/OpenClawMacMini/Mango Plant Disease/dataset/Powdery Mildew/IMG_20211107_125744 (Custom).jpg,Powdery Mildew,IMG_20211107_125744,1111111111011111110011111100011111000011110000111100001111000011,0110111100111111100111111000111110000110100001101000011111000110,Powdery Mildew__g0428
/Users/wirapongc/Library/CloudStorage/GoogleDrive-wirach@kku.ac.th/My Drive/OpenClawMacMini/Mango Plant Disease/dataset/Die Back/20211129_162345 (Custom).jpg,Die Back,20211129_162345,1111111111111111111111101110000000000000111100001111100011110000,0000000000000000010000000000000100000001110000000000000000000000,Die Back__g0193
/Users/wirapongc/Library/CloudStorage/GoogleDrive-wirach@kku.ac.th/My Drive/OpenClawMacMini/Mango Plant Disease/dataset/Bacterial Canker/IMG_20211106_142924 (Custom).jpg,Bacterial Canker,IMG_20211106_142924,1111111111111111111111111111100011110000111000001100000000000000,0000000000000010000001110001001000100110000011000101100010110000,Bacterial Canker__g0418
/Users/wirapongc/Library/CloudStorage/GoogleDrive-wirach@kku.ac.th/My Drive/OpenClawMacMini/Mango Plant Disease/dataset/Bacterial Canker/IMG_20211106_141851 (Custom).jpg,Bacterial Canker,IMG_20211106_141851,1111111111111111101111111001111111001111110000001110000011100000,0000000101000001011000010011000100010000000011000000111000000011,Bacterial Canker__g0338
/Users/wirapongc/Library/CloudStorage/GoogleDrive-wirach@kku.ac.th/My Drive/OpenClawMacMini/Mango Plant Disease/dataset/Sooty Mould/IMG_20211108_123548 (Custom).jpg,Sooty Mould,IMG_20211108_123548,0001111100001111000001111000001111000001111000011111110011111111,0111111101111111001111110001111110011111010000111111000111111110,Sooty Mould__g0275
/Users/wirapongc/Library/CloudStorage/GoogleDrive-wirach@kku.ac.th/My Drive/OpenClawMacMini/Mango Plant Disease/dataset/Cutting Weevil/20211011_162503(0) (Custom) (Custom).jpg,Cutting Weevil,20211011_162503(0),1111100011110000111100001111000011110000100100001011000011110000,0100000011000100110001001000010110000100011001010110010010000100,Cutting Weevil__g0203
/Users/wirapongc/Library/CloudStorage/GoogleDrive-wirach@kku.ac.th/My Drive/OpenClawMacMini/Mango Plant Disease/dataset/Anthracnose/IMG_20211008_113736 (Custom).jpg,Anthracnose,IMG_20211008_113736,1111100011111100111000001101100011111000111110001111100011111000,0000000000000000000000100001000100100001010000010000000000000000,Anthracnose__g0168
/Users/wirapongc/Library/CloudStorage/GoogleDrive-wirach@kku.ac.th/My Drive/OpenClawMacMini/Mango Plant Disease/dataset/Gall Midge/IMG_20211106_163812 (Custom).jpg,Gall Midge,IMG_20211106_163812,1101111111001111110001111110001111100000111100001111110011111111,0011000010011000100111000000111100000111000000110000100100000000,Gall Midge__g0272
/Users/wirapongc/Library/CloudStorage/GoogleDrive-wirach@kku.ac.th/My Drive/OpenClawMacMini/Mango Plant Disease/dataset/Powdery Mildew/IMG_20211107_115501 (Custom).jpg,Powdery Mildew,IMG_20211107_115501,1111111111111111000000010000000011000000111100011111111111111111,0001010111101010011010110001110100000011000000110000001000000000,Powdery Mildew__g0181
/Users/wirapongc/Library/CloudStorage/GoogleDrive-wirach@kku.ac.th/My Drive/OpenClawMacMini/Mango Plant Disease/dataset/Bacterial Canker/IMG_20211106_141301 (Custom).jpg,Bacterial Canker,IMG_20211106_141301,1111111111111111111111111110000011000000100111001111100011110000,0000000000000000000000010000110100011111001000001000000000000000,Bacterial Canker__g0308
/Users/wirapongc/Library/CloudStorage/GoogleDrive-wirach@kku.ac.th/My Drive/OpenClawMacMini/Mango Plant Disease/dataset/Cutting Weevil/20211011_162209 (Custom) (Custom).jpg,Cutting Weevil,20211011_162209,1111110011111100111110001111000011100000110000001100100011001100,0000000000000000000100101000001010001100000101000001010010010000,Cutting Weevil__g0161
/Users/wirapongc/Library/CloudStorage/GoogleDrive-wirach@kku.ac.th/My Drive/OpenClawMacMini/Mango Plant Disease/dataset/Powdery Mildew/20211109_122017 (Custom).jpg,Powdery Mildew,20211109_122017,1111111111111111110000010000000000000000000000001100011111111111,0000000000000000000000110000000111000011001011110001111100000011,Powdery Mildew__g0105
/Users/wirapongc/Library/CloudStorage/GoogleDrive-wirach@kku.ac.th/My Drive/OpenClawMacMini/Mango Plant Disease/dataset/Die Back/20211129_160908 (Custom).jpg,Die Back,20211129_160908,1111110011111100111111001111110010000000110000001111000011110000,0000000000000000000000001000000000110001000000110000000000000000,Die Back__g0057
/Users/wirapongc/Library/CloudStorage/GoogleDrive-wirach@kku.ac.th/My Drive/OpenClawMacMini/Mango Plant Disease/dataset/Healthy/20211231_160500 (Custom).jpg,Healthy,20211231_160500,1111111111111111111111111110000011000000110000001111100011111100,0000000100000001001100000000011100001011000010010100000001000000,Healthy__g0296
/Users/wirapongc/Library/CloudStorage/GoogleDrive-wirach@kku.ac.th/My Drive/OpenClawMacMini/Mango Plant Disease/dataset/Gall Midge/IMG_20211106_162842 (Custom).jpg,Gall Midge,IMG_20211106_162842,1111100111110001100000110000011100001111000111110111111111111111,1111001111000011000001110011111111111111111111111111111111111111,Gall Midge__g0175
/Users/wirapongc/Library/CloudStorage/GoogleDrive-wirach@kku.ac.th/My Drive/OpenClawMacMini/Mango Plant Disease/dataset/Die Back/20211129_163908 (Custom).jpg,Die Back,20211129_163908,1111111111111111111101001000000011000000111100001111100011110000,0000000000000000000011000000111100000110000000000000000000000000,Die Back__g0302
/Users/wirapongc/Library/CloudStorage/GoogleDrive-wirach@kku.ac.th/My Drive/OpenClawMacMini/Mango Plant Disease/dataset/Powdery Mildew/20211109_121737 (Custom).jpg,Powdery Mildew,20211109_121737,1111111111111111111100000000000000000000000000100000111111111111,0000000000000000000000110000000100000011000111100011100010000000,Powdery Mildew__g0056
/Users/wirapongc/Library/CloudStorage/GoogleDrive-wirach@kku.ac.th/My Drive/OpenClawMacMini/Mango Plant Disease/dataset/Anthracnose/IMG_20211011_161335 (Custom).jpg,Anthracnose,IMG_20211011_161335,1111111111111111110000001000000011111111111111110111111100011111,1111100011110100100000100000011111100110111110001111111011111100,Anthracnose__g0314
/Users/wirapongc/Library/CloudStorage/GoogleDrive-wirach@kku.ac.th/My Drive/OpenClawMacMini/Mango Plant Disease/dataset/Gall Midge/IMG_20211106_161126 (Custom).jpg,Gall Midge,IMG_20211106_161126,1101111111001111110011111110111111100111111000001110000011110000,0011000000010000100110000001100000001100000011000000011100000111,Gall Midge__g0009
/Users/wirapongc/Library/CloudStorage/GoogleDrive-wirach@kku.ac.th/My Drive/OpenClawMacMini/Mango Plant Disease/dataset/Cutting Weevil/20211011_161345 (Custom) (Custom).jpg,Cutting Weevil,20211011_161345,1101111111000001110000111110000011100111111000001110010011000000,1011001000010011000101100000110000001110000011100000110100001100,Cutting Weevil__g0047
/Users/wirapongc/Library/CloudStorage/GoogleDrive-wirach@kku.ac.th/My Drive/OpenClawMacMini/Mango Plant Disease/dataset/Healthy/20211231_124143 (Custom).jpg,Healthy,20211231_124143,1111111111111111111000001000000010000001111111111111111111111111,0010000000100000000000000000000100001111000011000000000000000000,Healthy__g0058
/Users/wirapongc/Library/CloudStorage/GoogleDrive-wirach@kku.ac.th/My Drive/OpenClawMacMini/Mango Plant Disease/dataset/Anthracnose/IMG_20211011_165844 (Custom).jpg,Anthracnose,IMG_20211011_165844,1111111111111111011111110000001100000000001111110000111100001111,1111110011111100111111000101111111110111111111111111111111111111,Anthracnose__g0462
/Users/wirapongc/Library/CloudStorage/GoogleDrive-wirach@kku.ac.th/My Drive/OpenClawMacMini/Mango Plant Disease/dataset/Cutting Weevil/20211011_162016 (Custom) (Custom).jpg,Cutting Weevil,20211011_162016,1111110011111000111100001110000011000000110000001111000011110000,0000000000000000000000000000100000011011000100111001011010000010,Cutting Weevil__g0132
/Users/wirapongc/Library/CloudStorage/GoogleDrive-wirach@kku.ac.th/My Drive/OpenClawMacMini/Mango Plant Disease/dataset/Healthy/20211231_124917 (Custom).jpg,Healthy,20211231_124917,1111100111111001111100011110001111100111110001111100111111111111,0000001100010011001001100000011001001100100110000011000000100000,Healthy__g0102
/Users/wirapongc/Library/CloudStorage/GoogleDrive-wirach@kku.ac.th/My Drive/OpenClawMacMini/Mango Plant Disease/dataset/Bacterial Canker/IMG_20211106_140321 (Custom).jpg,Bacterial Canker,IMG_20211106_140321,1111111111111100111111001111110011111100111110001111000011110000,1000000110000101000100000000000000001001000000010001001100110011,Bacterial Canker__g0242
/Users/wirapongc/Library/CloudStorage/GoogleDrive-wirach@kku.ac.th/My Drive/OpenClawMacMini/Mango Plant Disease/dataset/Sooty Mould/IMG_20211108_121615 (Custom).jpg,Sooty Mould,IMG_20211108_121615,1111000011110000111100001111000111100111111111111111111111110000,0000001100000111000001110000011100001110000000000000000100000010,Sooty Mould__g0054
/Users/wirapongc/Library/CloudStorage/GoogleDrive-wirach@kku.ac.th/My Drive/OpenClawMacMini/Mango Plant Disease/dataset/Die Back/IMG_20211027_194816 (Custom).jpg,Die Back,IMG_20211027_194816,1110000011100000111011001101110011011100110111001011110010011000,0000100000001000100110001001000000110000001100000010000000100000,Die Back__g0429
/Users/wirapongc/Library/CloudStorage/GoogleDrive-wirach@kku.ac.th/My Drive/OpenClawMacMini/Mango Plant Disease/dataset/Die Back/20211129_163801 (Custom).jpg,Die Back,20211129_163801,1111111011111110111111001100100010000000111000001111000011110000,0000000000000000010000000001100000011011000000110000000000000000,Die Back__g0285
/Users/wirapongc/Library/CloudStorage/GoogleDrive-wirach@kku.ac.th/My Drive/OpenClawMacMini/Mango Plant Disease/dataset/Cutting Weevil/20211011_161959 (Custom) (Custom).jpg,Cutting Weevil,20211011_161959,1111110011111110100001001100000011000000100000001111000011111100,0100000000001000001011000000111000010111001001010000110100000000,Cutting Weevil__g0127
/Users/wirapongc/Library/CloudStorage/GoogleDrive-wirach@kku.ac.th/My Drive/OpenClawMacMini/Mango Plant Disease/dataset/Anthracnose/IMG_20211011_165123 (Custom).jpg,Anthracnose,IMG_20211011_165123,1111111111111111111111110000000110000001111101111111100000000000,1111000011100000001111000011111100000111100001100000000100010000,Anthracnose__g0451
/Users/wirapongc/Library/CloudStorage/GoogleDrive-wirach@kku.ac.th/My Drive/OpenClawMacMini/Mango Plant Disease/dataset/Bacterial Canker/IMG_20211106_134420 (Custom).jpg,Bacterial Canker,IMG_20211106_134420,1111111111100111111000111110001111110010111100101111000011110000,0001000000001100000011100000011000100110000001100000010010000100,Bacterial Canker__g0061
/Users/wirapongc/Library/CloudStorage/GoogleDrive-wirach@kku.ac.th/My Drive/OpenClawMacMini/Mango Plant Disease/dataset/Healthy/20211231_125439 (Custom).jpg,Healthy,20211231_125439,1111110011111000111100011110000111100011110001111000111111111111,0000100100010001001000110000011100001110000111000011100000100000,Healthy__g0129
/Users/wirapongc/Library/CloudStorage/GoogleDrive-wirach@kku.ac.th/My Drive/OpenClawMacMini/Mango Plant Disease/dataset/Gall Midge/IMG_20211106_161724 (Custom).jpg,Gall Midge,IMG_20211106_161724,1111111111111111111110001110000011000100100011001111100011111000,0000000000000001000100011000011100011100001100001100000000000000,Gall Midge__g0077
/Users/wirapongc/Library/CloudStorage/GoogleDrive-wirach@kku.ac.th/My Drive/OpenClawMacMini/Mango Plant Disease/dataset/Healthy/20211231_162223 (Custom).jpg,Healthy,20211231_162223,1111111100011111000001111000001111000000111100001111100011111100,0110000001110000010111000000011010000011110000111110000111000000,Healthy__g0465
/Users/wirapongc/Library/CloudStorage/GoogleDrive-wirach@kku.ac.th/My Drive/OpenClawMacMini/Mango Plant Disease/dataset/Gall Midge/IMG_20211106_164258 (Custom).jpg,Gall Midge,IMG_20211106_164258,1111111111111111000000010000001100000011111100111111111111111111,0000111000001000101000110000111100011111000001110000001100000011,Gall Midge__g0339
/Users/wirapongc/Library/CloudStorage/GoogleDrive-wirach@kku.ac.th/My Drive/OpenClawMacMini/Mango Plant Disease/dataset/Anthracnose/20211011_133438 (Custom).jpg,Anthracnose,20211011_133438,1111000111110001111000011110000111100001111000011110001111100011,1110000111000011110000111100101111000011000000111000001100000110,Anthracnose__g0060
/Users/wirapongc/Library/CloudStorage/GoogleDrive-wirach@kku.ac.th/My Drive/OpenClawMacMini/Mango Plant Disease/dataset/Healthy/20211231_160512 (Custom).jpg,Healthy,20211231_160512,1111111111111111111100001100000010000000100000011111110111110000,1100011011010000110000011000110100101001000011111000000100000001,Healthy__g0298
/Users/wirapongc/Library/CloudStorage/GoogleDrive-wirach@kku.ac.th/My Drive/OpenClawMacMini/Mango Plant Disease/dataset/Die Back/IMG_20211027_184024 (Custom).jpg,Die Back,IMG_20211027_184024,1111100011111100111100101111001011110110110011000001100000000000,1100000011100000111001001110010011001100100110001011000011100000,Die Back__g0386
/Users/wirapongc/Library/CloudStorage/GoogleDrive-wirach@kku.ac.th/My Drive/OpenClawMacMini/Mango Plant Disease/dataset/Anthracnose/IMG_20211011_153059 (Custom).jpg,Anthracnose,IMG_20211011_153059,1111111111111111111110111111001111100010111000001110000011100000,1100000011000000110001101010011010000110110011001100110000001000,Anthracnose__g0240
/Users/wirapongc/Library/CloudStorage/GoogleDrive-wirach@kku.ac.th/My Drive/OpenClawMacMini/Mango Plant Disease/dataset/Sooty Mould/IMG_20211108_123602 (Custom).jpg,Sooty Mould,IMG_20211108_123602,1111101110010011000000110000001100000111000011110000111100011111,1110001100100011011101111000011110001111101111111111111111110111,Sooty Mould__g0280
/Users/wirapongc/Library/CloudStorage/GoogleDrive-wirach@kku.ac.th/My Drive/OpenClawMacMini/Mango Plant Disease/dataset/Cutting Weevil/20211011_161309 (Custom) (Custom).jpg,Cutting Weevil,20211011_161309,1111100011111000111110001111100011110000111000001110000011100000,0000000000000000000000000000000000000100000010010000100110001100,Cutting Weevil__g0042
/Users/wirapongc/Library/CloudStorage/GoogleDrive-wirach@kku.ac.th/My Drive/OpenClawMacMini/Mango Plant Disease/dataset/Bacterial Canker/IMG_20211106_142850 (Custom).jpg,Bacterial Canker,IMG_20211106_142850,1111111011111100111000001110000011100000111001001110010011100100,0000000000000000000011000000110000001101000011000000100000001000,Bacterial Canker__g0410
/Users/wirapongc/Library/CloudStorage/GoogleDrive-wirach@kku.ac.th/My Drive/OpenClawMacMini/Mango Plant Disease/dataset/Healthy/20211231_124210 (Custom).jpg,Healthy,20211231_124210,1111111111111111111111111000000010000000111100111111111111111111,0000000010000000100001000000011100000011100001100000000000000000,Healthy__g0065
/Users/wirapongc/Library/CloudStorage/GoogleDrive-wirach@kku.ac.th/My Drive/OpenClawMacMini/Mango Plant Disease/dataset/Anthracnose/20211011_133815 (Custom).jpg,Anthracnose,20211011_133815,1111111111111111111100000000000010000011111111111111111111100000,1001111111100011100000010000111100011111110000010000001100000011,Anthracnose__g0066
/Users/wirapongc/Library/CloudStorage/GoogleDrive-wirach@kku.ac.th/My Drive/OpenClawMacMini/Mango Plant Disease/dataset/Die Back/20211129_164426 (Custom).jpg,Die Back,20211129_164426,1111111111011111110011001100000011100000111000001110000011100000,0000000000110000000100000001100000001100000011000000011000000100,Die Back__g0360
/Users/wirapongc/Library/CloudStorage/GoogleDrive-wirach@kku.ac.th/My Drive/OpenClawMacMini/Mango Plant Disease/dataset/Healthy/20211231_160404 (Custom).jpg,Healthy,20211231_160404,1111111111111111111111111110000011000000110000001111000011111000,0110000000100000001000000000111000000011000001110000000000000000,Healthy__g0283
/Users/wirapongc/Library/CloudStorage/GoogleDrive-wirach@kku.ac.th/My Drive/OpenClawMacMini/Mango Plant Disease/dataset/Anthracnose/IMG_20211011_140551 (Custom).jpg,Anthracnose,IMG_20211011_140551,0000001100000111000001110000111101001111011111110111111101111111,1111111111001111110111111001010011011100110110001111000011111100,Anthracnose__g0209
/Users/wirapongc/Library/CloudStorage/GoogleDrive-wirach@kku.ac.th/My Drive/OpenClawMacMini/Mango Plant Disease/dataset/Gall Midge/IMG_20211106_165556 (Custom).jpg,Gall Midge,IMG_20211106_165556,0011100000000001000000110000111111111111111111111111111111111111,1111001100100111100111101011100011110000111100001111000011110000,Gall Midge__g0400
/Users/wirapongc/Library/CloudStorage/GoogleDrive-wirach@kku.ac.th/My Drive/OpenClawMacMini/Mango Plant Disease/dataset/Powdery Mildew/20211109_122343 (Custom).jpg,Powdery Mildew,20211109_122343,1111111111111111000000000000001100001100111110001111110011111110,0000000000000000001111110001111011011000100000000000000000000000,Powdery Mildew__g0169
/Users/wirapongc/Library/CloudStorage/GoogleDrive-wirach@kku.ac.th/My Drive/OpenClawMacMini/Mango Plant Disease/dataset/Anthracnose/20211011_134558 (Custom).jpg,Anthracnose,20211011_134558,1111000011100001111000111100001111000111100001111000111110011111,0000001100000111000001100000011000001100000011000001100000111000,Anthracnose__g0087
/Users/wirapongc/Library/CloudStorage/GoogleDrive-wirach@kku.ac.th/My Drive/OpenClawMacMini/Mango Plant Disease/dataset/Die Back/20211129_163848 (Custom).jpg,Die Back,20211129_163848,1111111111111110111111001111100011110000000000000000100011111000,0000000000000000000000001100000100000011000011100011100000000000,Die Back__g0297
/Users/wirapongc/Library/CloudStorage/GoogleDrive-wirach@kku.ac.th/My Drive/OpenClawMacMini/Mango Plant Disease/dataset/Die Back/20211129_162122 (Custom).jpg,Die Back,20211129_162122,1111111011111110111110001100000010000000111110001111100011110000,0000000000000000110000010000100100001001000000000000000000000000,Die Back__g0166
/Users/wirapongc/Library/CloudStorage/GoogleDrive-wirach@kku.ac.th/My Drive/OpenClawMacMini/Mango Plant Disease/dataset/Healthy/20211231_160721 (Custom).jpg,Healthy,20211231_160721,1111111111111111110000001000000010000000110000001111100011111111,1111000011001101000011010011100000101100000001101000000001001000,Healthy__g0323
/Users/wirapongc/Library/CloudStorage/GoogleDrive-wirach@kku.ac.th/My Drive/OpenClawMacMini/Mango Plant Disease/dataset/Die Back/20211129_162541 (Custom).jpg,Die Back,20211129_162541,1111111011111110101111001100110011100000111100001111100011110000,0000000001000000011000000001100000000111000000100000000000000000,Die Back__g0212
/Users/wirapongc/Library/CloudStorage/GoogleDrive-wirach@kku.ac.th/My Drive/OpenClawMacMini/Mango Plant Disease/dataset/Sooty Mould/IMG_20211211_154153 (Custom).jpg,Sooty Mould,IMG_20211211_154153,1111111111111111111110001100000100000011000001110001111100111111,1111000011111100110000010000001100110111111111111111101111111111,Sooty Mould__g0305
/Users/wirapongc/Library/CloudStorage/GoogleDrive-wirach@kku.ac.th/My Drive/OpenClawMacMini/Mango Plant Disease/dataset/Anthracnose/IMG_20211011_164356 (Custom).jpg,Anthracnose,IMG_20211011_164356,1111111111111111111111111111100011110000110000001000000010000000,1111010011110000110011001001000100000011000001110000111000011110,Anthracnose__g0419
/Users/wirapongc/Library/CloudStorage/GoogleDrive-wirach@kku.ac.th/My Drive/OpenClawMacMini/Mango Plant Disease/dataset/Sooty Mould/IMG_20211108_122121 (Custom).jpg,Sooty Mould,IMG_20211108_122121,1111111111111111100001000000000000000000000000111000111111111111,1111011111111100000111010111110011101101011101110011111011111011,Sooty Mould__g0100
/Users/wirapongc/Library/CloudStorage/GoogleDrive-wirach@kku.ac.th/My Drive/OpenClawMacMini/Mango Plant Disease/dataset/Powdery Mildew/IMG_20211107_115520 (Custom).jpg,Powdery Mildew,IMG_20211107_115520,1110011111101111110001111000011110000111100001111000011110000111,1100110111001111100011010010111100101111000011110010111100111111,Powdery Mildew__g0185
/Users/wirapongc/Library/CloudStorage/GoogleDrive-wirach@kku.ac.th/My Drive/OpenClawMacMini/Mango Plant Disease/dataset/Powdery Mildew/IMG_20211107_125301 (Custom).jpg,Powdery Mildew,IMG_20211107_125301,1111110011111110100011101000010010000000100000001100000111100001,0001000000001000000111000001100000011001000110000001110100001111,Powdery Mildew__g0398
/Users/wirapongc/Library/CloudStorage/GoogleDrive-wirach@kku.ac.th/My Drive/OpenClawMacMini/Mango Plant Disease/dataset/Gall Midge/IMG_20211106_164303 (Custom).jpg,Gall Midge,IMG_20211106_164303,1111111111111111011100110000001100000011111000111111111111111111,1100011000011000110000110000111100001111000001110000011100001011,Gall Midge__g0340
/Users/wirapongc/Library/CloudStorage/GoogleDrive-wirach@kku.ac.th/My Drive/OpenClawMacMini/Mango Plant Disease/dataset/Powdery Mildew/IMG_20211107_125829 (Custom).jpg,Powdery Mildew,IMG_20211107_125829,1111111111111111100000110000000000000000000000011111111111111111,1111111111111111000011110001111110011011000001111110111111111111,Powdery Mildew__g0437
/Users/wirapongc/Library/CloudStorage/GoogleDrive-wirach@kku.ac.th/My Drive/OpenClawMacMini/Mango Plant Disease/dataset/Sooty Mould/IMG_20211108_121901 (Custom).jpg,Sooty Mould,IMG_20211108_121901,1110111111101111111001111110011111000111000001110000001100000000,1100101111001111110011111100110100001111000011110000111000011110,Sooty Mould__g0069
/Users/wirapongc/Library/CloudStorage/GoogleDrive-wirach@kku.ac.th/My Drive/OpenClawMacMini/Mango Plant Disease/dataset/Healthy/20211231_130002 (Custom).jpg,Healthy,20211231_130002,1111111111111100111100001110000010000001110011111111111111111111,0000000000000000011000010000001100011111000111000000000000000000,Healthy__g0146
/Users/wirapongc/Library/CloudStorage/GoogleDrive-wirach@kku.ac.th/My Drive/OpenClawMacMini/Mango Plant Disease/dataset/Powdery Mildew/IMG_20211107_123629 (Custom).jpg,Powdery Mildew,IMG_20211107_123629,1110111111100111110001111100011111000111110001111100011100100111,1101101110001101100011011000110110001100100011001000110111001101,Powdery Mildew__g0270
/Users/wirapongc/Library/CloudStorage/GoogleDrive-wirach@kku.ac.th/My Drive/OpenClawMacMini/Mango Plant Disease/dataset/Die Back/20211129_162659 (Custom).jpg,Die Back,20211129_162659,1111111111111111110001101100011011100000111100001111100011111000,0000000001100000000110001000110000000110000000110000001100000000,Die Back__g0227
/Users/wirapongc/Library/CloudStorage/GoogleDrive-wirach@kku.ac.th/My Drive/OpenClawMacMini/Mango Plant Disease/dataset/Anthracnose/IMG_20211011_153243 (Custom).jpg,Anthracnose,IMG_20211011_153243,1111111111111111100001110000000100010001001111110000111100000011,1111000011111000000111100011011100110011111111001111111011111110,Anthracnose__g0260
/Users/wirapongc/Library/CloudStorage/GoogleDrive-wirach@kku.ac.th/My Drive/OpenClawMacMini/Mango Plant Disease/dataset/Bacterial Canker/IMG_20211106_135053 (Custom).jpg,Bacterial Canker,IMG_20211106_135053,1111000011111000101110001000000011100000111110001111110011111110,0000000000000000011000000001110000000110000000010000000000000000,Bacterial Canker__g0120
/Users/wirapongc/Library/CloudStorage/GoogleDrive-wirach@kku.ac.th/My Drive/OpenClawMacMini/Mango Plant Disease/dataset/Die Back/IMG_20211027_193719 (Custom).jpg,Die Back,IMG_20211027_193719,1111110011111100111111101110111011101100110011001001000000000000,1000000010001000000010001100100010011000100100000011000011000000,Die Back__g0411
/Users/wirapongc/Library/CloudStorage/GoogleDrive-wirach@kku.ac.th/My Drive/OpenClawMacMini/Mango Plant Disease/dataset/Bacterial Canker/IMG_20211106_142538 (Custom).jpg,Bacterial Canker,IMG_20211106_142538,1111111011111111111011111111000011110000111110001111110011111110,0010000000000010000011000000011000000010000000010000100000000000,Bacterial Canker__g0361
/Users/wirapongc/Library/CloudStorage/GoogleDrive-wirach@kku.ac.th/My Drive/OpenClawMacMini/Mango Plant Disease/dataset/Sooty Mould/IMG_20211212_145113 (Custom).jpg,Sooty Mould,IMG_20211212_145113,1111111111111111111111111111000011000000100000001100000011111111,0000000000000000000000000000001100000001001100000000000100000001,Sooty Mould__g0441
/Users/wirapongc/Library/CloudStorage/GoogleDrive-wirach@kku.ac.th/My Drive/OpenClawMacMini/Mango Plant Disease/dataset/Gall Midge/IMG_20211106_170250 (Custom).jpg,Gall Midge,IMG_20211106_170250,1111111111111100111110001110000110000011000001110000111111111111,0000100000110000010000010000001100001111000111110011111101111001,Gall Midge__g0474
